Name_and_model,Model_type,In_Game_Price,car_source,stock_specs,Stock_Rating,Drive_Type,speed,handling,acceleration,launch,braking,Offroad,Top_Speed,0-60_Mph,0-100_Mph,g-force,Horse_Power,Weight_lbs
2019 Aston Martin Valhalla Concept Car,HYPERCARS,1150000.0,Autoshow,S2,959.0,AWD,8.5,9.2,10.0,10.0,9.4,4.6,,4.1,,,"1,042",3097.0
2019 Aston Martin Vantage,GT CARS,430000.0,Autoshow,S1,801.0,RWD,7.0,6.7,6.0,6.4,6.1,4.6,,4.1,,,503,3497.0
1983 Audi Sport quattro,RETRO RALLY,175000.0,Autoshow,B,638.0,AWD,5.7,5.0,5.5,2.9,4.0,5.7,157.7,4.5,12.5,0.91,306,2807.0
1995 Audi Avant RS2,RETRO SALOONS,50000.0,Autoshow,B,601.0,AWD,6.0,5.1,5.0,5.3,3.2,5.2,165.2,4.8,13.1,0.87,311,3517.0
2001 Audi RS 4 Avant,RETRO SALOONS,94000.0,Autoshow,B,663.0,AWD,6.4,5.8,5.5,4.7,3.6,5.2,175.5,4.5,11.6,0.92,375,3571.0
2003 Audi RS 6,RETRO SALOONS,105000.0,Autoshow,B,677.0,AWD,6.8,5.7,5.1,5.0,4.1,5.4,187.6,4.4,10.7,0.9,450,4024.0
2006 Audi RS 4,SUPER SALOONS,53000.0,Autoshow,A,710.0,AWD,6.9,6.1,6.0,5.5,4.4,5.3,,4.1,,,420,3638.0
2009 Audi RS 6,SUPER SALOONS,155000.0,Autoshow,A,722.0,AWD,7.5,6.0,6.1,6.7,5.8,5.5,,4.1,,,570,4376.0
2010 Audi TT RS Coupé,MODERN SPORTS CARS,66000.0,Autoshow,A,707.0,AWD,6.6,6.1,5.8,7.0,4.4,5.4,181.1,4.4,11.1,0.96,335,3294.0
2011 Audi RS 3 Sportback,SUPER HOT HATCH,42000.0,Autoshow,B,682.0,AWD,6.0,6.1,5.2,6.5,4.1,5.5,,4.1,,,335,3472.0
2011 Audi RS 5 Coupé,SUPER SALOONS,88000.0,Autoshow,A,733.0,AWD,6.8,6.2,5.8,5.7,5.9,5.5,,4.1,,,442,3830.0
2013 Audi R8 Coupé V10 plus 5.2 FSI quattro,MODERN SUPERCARS,290000.0,Wheelspin,S1,802.0,AWD,7.3,7.0,7.1,6.6,6.9,5.0,,4.1,,,542,3682.0
2013 Audi RS 4 Avant,SUPER SALOONS,83000.0,Autoshow,A,728.0,AWD,7.0,6.2,5.5,5.2,5.2,5.2,,4.1,,,444,3957.0
2013 Audi RS 7 Sportback,SUPER SALOONS,225000.0,Autoshow,A,739.0,AWD,7.6,5.9,7.0,8.2,5.6,5.3,,4.1,,,552,4310.0
2015 Audi RS 6 Avant,SUPER SALOONS,150000.0,Autoshow,A,754.0,AWD,7.4,6.0,7.5,8.3,5.3,5.2,,4.1,,,552,4266.0
2015 Audi S1,HOT HATCH,35000.0,Autoshow,B,644.0,AWD,5.6,5.9,5.2,4.4,3.7,5.6,154.5,5.8,14.0,0.92,228,2899.0
2015 Audi TTS Coupé,MODERN SPORTS CARS,52000.0,Autoshow,A,724.0,AWD,6.7,6.3,5.8,6.4,4.0,5.2,,4.1,,,310,3053.0
2016 Audi R8 V10 plus,MODERN SUPERCARS,242000.0,Autoshow,S1,834.0,AWD,7.8,7.1,7.8,7.4,7.3,5.1,215.9,2.7,6.1,1.11,610,3428.0
2018 Audi TT RS,MODERN SPORTS CARS,0.0,Autoshow,A,748.0,AWD,6.8,6.3,6.7,8.1,4.7,5.2,,4.1,,,400,3307.0
1958 Austin-Healey Sprite MkI,CLASSIC SPORTS CARS,20000.0,Autoshow,D,131.0,RWD,3.1,3.7,1.9,2.5,1.8,4.9,89.1,20.9,,0.74,45,1463.0
1939 Auto Union Type D,VINTAGE RACERS,15000000.0,Autoshow,B,675.0,RWD,8.4,4.2,4.5,3.4,2.7,4.2,228.1,3.8,8.5,0.84,485,2816.0
2014 BAC Mono,TRACK TOYS,160000.0,Wheelspin,S1,868.0,RWD,6.1,8.1,6.3,6.7,8.1,3.9,171.9,2.8,6.7,1.29,280,1354.0
1930 Bentley 8 Litre,RARE CLASSICS,1500000.0,Autoshow,D,181.0,RWD,3.7,3.5,2.4,1.8,1.8,5.7,103.1,16.0,50.0,0.63,220,5600.0
1930 Bentley Blower 4-1/2 Litre Supercharged,VINTAGE RACERS,4000000.0,Autoshow,D,207.0,RWD,3.7,3.3,2.1,2.3,1.9,5.8,,4.1,,,175,4395.0
2016 Bentley Bentayga,SPORTS UTILITY HEROES,180000.0,Autoshow,A,727.0,AWD,7.0,5.0,6.2,7.4,4.0,6.5,192.6,4.4,10.1,0.92,599,5340.0
2017 Bentley Continental Supersports,GT CARS,200000.0,Autoshow,A,769.0,AWD,7.6,6.1,8.0,9.1,5.8,4.9,210.1,3.5,7.9,0.92,700,5029.0
1957 BMW Isetta 300 Export,CULT CARS,45000.0,Autoshow,D,100.0,RWD,1.8,3.4,1.2,2.7,2.4,4.7,,4.1,,,13,920.0
1973 BMW 2002 TURBO,CLASSIC SPORTS CARS,26000.0,Barn,C,531.0,RWD,4.9,4.3,3.8,1.5,2.8,5.6,,4.1,,,168,2381.0
1981 BMW M1,RETRO SUPERCARS,585000.0,Autoshow,B,629.0,RWD,5.9,5.0,4.4,3.1,3.2,4.7,,4.1,,,277,2866.0
1988 BMW M5,RETRO SALOONS,54000.0,Autoshow,C,583.0,RWD,5.8,4.4,4.3,3.9,3.1,5.1,,4.1,,,282,3230.0
1991 BMW M3,RETRO SALOONS,70000.0,Autoshow,C,583.0,RWD,5.6,4.7,4.3,3.4,3.1,4.9,,4.1,,,215,2762.0
1995 BMW M5,RETRO SALOONS,25000.0,Autoshow,B,634.0,RWD,6.7,5.2,4.6,4.2,3.6,4.8,,4.1,,,342,3772.0
1997 BMW M3,RETRO SALOONS,35000.0,Autoshow,B,665.0,RWD,6.5,4.9,4.9,5.2,3.6,5.2,,4.1,,,321,3219.0
2002 BMW M3-GTR,TRACK TOYS,180000.0,Autoshow,A,747.0,RWD,6.7,6.5,5.4,5.7,4.9,4.7,181.6,4.0,9.4,0.99,375,3096.0
2002 BMW Z3 M Coupe,RETRO SPORTS CARS,30000.0,Autoshow,B,675.0,RWD,6.1,5.3,4.9,5.0,3.7,4.9,,4.1,,,315,3170.0
2003 BMW M5,RETRO SALOONS,30000.0,Autoshow,B,694.0,RWD,7.1,5.5,5.0,5.2,3.8,5.1,,4.1,,,394,3900.0
2005 BMW M3,RETRO SALOONS,33000.0,Autoshow,B,675.0,RWD,6.4,5.3,5.0,5.0,3.8,5.0,176.0,4.7,11.6,0.92,333,3415.0
2008 BMW M3,SUPER SALOONS,48000.0,Autoshow,A,725.0,RWD,6.8,5.8,5.0,5.3,4.5,4.5,,4.1,,,414,3649.0
2008 BMW Z4 M Coupe,MODERN SPORTS CARS,82000.0,Autoshow,B,694.0,RWD,6.4,5.8,5.4,4.9,4.3,5.2,,4.1,,,330,3296.0
2009 BMW M5,SUPER SALOONS,90000.0,Autoshow,A,719.0,RWD,7.1,5.9,5.1,4.9,4.4,4.9,,4.1,,,500,4012.0
2011 BMW 1 Series M Coupe,SUPER SALOONS,55000.0,Autoshow,A,712.0,RWD,6.4,5.9,5.2,5.4,4.5,4.8,,4.1,,,335,3296.0
2011 BMW X5 M,SPORTS UTILITY HEROES,100000.0,Autoshow,B,666.0,AWD,6.4,4.8,5.9,6.6,3.7,6.3,,4.1,,,547,5368.0
2011 BMW X5 M Forza Edition,EXTREME TRACK TOYS,500000.0,Other,S2,998.0,AWD,8.0,10.0,10.0,10.0,9.4,4.4,,4.1,,,"1,014",2756.0
2012 BMW M5,SUPER SALOONS,112000.0,Autoshow,A,766.0,RWD,7.4,6.0,5.3,5.6,4.8,4.6,,4.1,,,552,4123.0
2013 BMW M6 Coupe,GT CARS,120000.0,Autoshow,A,758.0,RWD,7.5,5.8,5.0,5.2,5.9,4.6,,4.1,,,560,4255.0
2014 BMW M4 Coupe,SUPER SALOONS,92000.0,Autoshow,A,782.0,RWD,7.1,6.2,5.3,5.6,6.5,4.7,,4.1,,,431,3389.0
2015 BMW i8,MODERN SUPERCARS,140000.0,Autoshow,A,764.0,AWD,7.2,6.4,7.7,8.7,4.6,4.9,,4.1,,,357,3380.0
2015 BMW X6 M,SPORTS UTILITY HEROES,130000.0,Wheelspin,B,687.0,AWD,6.5,4.9,6.0,6.6,4.1,5.8,,4.1,,,567,5185.0
2016 BMW M2 Coupé,SUPER SALOONS,69000.0,Autoshow,A,718.0,RWD,6.5,5.7,5.2,5.5,4.6,4.8,178.1,4.2,10.0,0.95,365,3450.0
2016 BMW M4 GTS,TRACK TOYS,135000.0,Car Collection,S1,814.0,RWD,7.2,7.6,5.7,6.0,7.0,4.0,,4.1,,,493,3329.0
2018 BMW M5,SUPER SALOONS,105000.0,Autoshow,A,784.0,AWD,7.6,6.1,8.7,9.7,6.2,5.1,,4.1,,,600,4370.0
2019 BMW Z4 Roadster,MODERN SPORTS CARS,35000.0,Autoshow,A,751.0,RWD,6.7,6.0,5.6,6.0,4.4,4.6,182.6,4.4,9.9,0.99,382,3252.0
1926 Bugatti Type 35 C,VINTAGE RACERS,1300000.0,Autoshow,D,285.0,RWD,4.0,3.4,2.5,1.4,1.9,4.9,,4.1,,,95,1676.0
1992 Bugatti EB110 Super Sport,RETRO SUPERCARS,1700000.0,Autoshow,S1,805.0,AWD,8.3,6.5,8.0,3.8,5.2,4.9,227.7,3.6,8.2,1.11,611,3126.0
2011 Bugatti Veyron Super Sport,HYPERCARS,2200000.0,Autoshow,S2,913.0,AWD,9.9,7.9,10.0,5.9,8.6,4.9,268.1,2.4,5.0,1.26,"1,183",4044.0
2018 Bugatti Chiron,HYPERCARS,2400000.0,Autoshow,S2,927.0,AWD,10.0,7.9,9.9,6.1,8.6,5.0,,4.1,,,"1,479",4398.0
2019 Bugatti Divo,EXTREME TRACK TOYS,3000000.0,Autoshow,S2,958.0,AWD,9.6,9.9,10.0,6.2,9.5,4.4,,4.1,,,"1,479",4321.0
1970 Buick GSX,CLASSIC MUSCLE,80000.0,Autoshow,C,558.0,RWD,5.1,3.5,3.3,3.2,2.5,5.1,140.7,6.5,13.5,0.79,360,3874.0
1987 Buick Regal GNX,RETRO MUSCLE,130000.0,Autoshow,C,564.0,RWD,5.7,4.0,3.8,2.5,2.5,5.5,,4.1,,,300,3545.0
2016 Cadillac ATS-V,MODERN MUSCLE,65000.0,Autoshow,A,716.0,RWD,7.0,5.5,5.2,3.4,4.2,5.1,,4.1,,,464,3700.0
2016 Cadillac CTS-V Sedan,MODERN MUSCLE,80000.0,Autoshow,A,761.0,RWD,7.2,5.3,4.9,5.2,4.4,4.7,,4.1,,,640,4128.0
2018 Can-Am Maverick X RS Turbo R,UTV'S,25000.0,Autoshow,B,670.0,AWD,3.9,3.7,6.8,9.6,4.5,9.7,,4.1,,,172,1655.0
2013 Caterham Superlight R500,TRACK TOYS,82000.0,Autoshow,A,786.0,RWD,5.6,5.4,5.7,6.2,4.6,3.9,,4.1,,,263,1116.0
1953 Chevrolet Corvette,CLASSIC SPORTS CARS,210000.0,Barn,D,366.0,RWD,3.6,4.0,2.3,1.1,2.0,5.6,,4.1,,,160,2900.0
1953 Chevrolet Corvette Forza Edition,CLASSIC RACERS,500000.0,Wheelspin,A,800.0,RWD,6.5,6.1,5.8,6.2,4.8,3.7,,4.1,,,450,2205.0
1955 Chevrolet 150 Utility Sedan,RODS AND CUSTOMS,35000.0,Autoshow,D,360.0,RWD,4.5,3.5,3.2,2.5,2.0,5.8,123.1,9.7,28.9,0.73,180,3309.0
1957 Chevrolet Bel Air,RODS AND CUSTOMS,130000.0,Autoshow,D,432.0,RWD,4.8,3.8,2.8,1.6,2.1,6.0,130.6,7.3,19.6,0.75,220,3337.0
1960 Chevrolet Corvette,CLASSIC SPORTS CARS,150000.0,Car Collection,C,541.0,RWD,5.4,4.0,3.6,2.8,2.5,5.6,,4.1,,,290,3080.0
1964 Chevrolet Impala Super Sport 409,RODS AND CUSTOMS,46000.0,Autoshow,C,544.0,RWD,5.5,3.6,3.4,3.0,2.3,5.4,150.4,6.3,12.8,0.76,425,3877.0
1967 Chevrolet Corvette Stingray 427,CLASSIC MUSCLE,150000.0,Autoshow,B,623.0,RWD,5.5,4.3,3.9,3.0,3.1,5.8,,4.1,,,435,3384.0
1969 Chevrolet Camaro Super Sport Coupe,CLASSIC MUSCLE,110000.0,Autoshow,C,585.0,RWD,5.0,4.2,3.8,2.9,3.1,5.8,,4.1,,,375,3527.0
1969 Chevrolet Nova Super Sport 396,CLASSIC MUSCLE,41000.0,Autoshow,C,545.0,RWD,5.4,3.9,3.5,2.9,2.4,5.3,,4.1,,,375,3470.0
1970 Chevrolet Camaro Z28,CLASSIC MUSCLE,53000.0,Autoshow,C,539.0,RWD,5.1,3.7,3.4,3.3,2.4,4.9,,4.1,,,360,3550.0
1970 Chevrolet Chevelle Super Sport 454,CLASSIC MUSCLE,80000.0,Autoshow,C,531.0,RWD,4.7,3.6,3.3,3.2,2.4,5.4,,4.1,,,450,3799.0
1970 Chevrolet Corvette ZR-1,CLASSIC MUSCLE,310000.0,Wheelspin,B,610.0,RWD,4.9,4.3,3.9,2.9,3.1,5.4,,4.1,,,370,3373.0
1970 Chevrolet El Camino Super Sport 454,VANS AND UTILITY,65000.0,Autoshow,C,544.0,RWD,5.9,3.6,3.2,3.1,2.4,5.5,,4.1,,,450,3820.0
1979 Chevrolet Camaro Z28,CLASSIC MUSCLE,35000.0,Autoshow,D,466.0,RWD,4.5,4.1,3.5,2.9,2.5,5.4,,4.1,,,175,3560.0
1988 Chevrolet Monte Carlo Super Sport,RETRO MUSCLE,25000.0,Autoshow,D,396.0,RWD,5.0,4.0,3.1,2.3,2.0,5.0,,4.1,,,180,3522.0
1995 Chevrolet Corvette ZR-1,RETRO MUSCLE,45000.0,Autoshow,B,693.0,RWD,6.5,5.2,4.8,4.0,3.7,4.5,,4.1,,,405,3505.0
1996 Chevrolet Impala Super Sport,RETRO MUSCLE,20000.0,Autoshow,C,509.0,RWD,5.0,4.3,3.6,2.6,2.7,5.2,139.1,6.5,17.9,0.83,260,4037.0
2002 Chevrolet Corvette Z06,RETRO MUSCLE,35000.0,Autoshow,A,722.0,RWD,7.2,5.8,4.6,4.5,3.9,4.5,,4.1,,,405,3120.0
2009 Chevrolet Corvette ZR1,MODERN MUSCLE,125000.0,Autoshow,S1,809.0,RWD,7.8,6.2,5.5,4.6,6.6,4.4,,4.1,,,638,3350.0
2015 Chevrolet Camaro Z/28,TRACK TOYS,86000.0,Autoshow,A,797.0,RWD,6.7,6.8,5.5,5.4,7.2,4.4,182.6,4.4,9.5,1.13,505,3837.0
2015 Chevrolet Corvette Z06,MODERN MUSCLE,110000.0,Autoshow,S1,852.0,RWD,7.8,7.0,6.0,6.5,7.7,4.4,213.9,3.3,7.5,1.16,650,3536.0
2017 Chevrolet Camaro ZL1,MODERN MUSCLE,60000.0,Autoshow,S1,821.0,RWD,7.3,7.2,6.1,4.9,5.6,4.8,,4.1,,,650,3883.0
2017 Chevrolet Colorado ZR2,PICK-UP & 4X4'S,46000.0,Autoshow,C,530.0,AWD,5.4,3.0,3.9,3.4,3.0,8.2,147.6,6.1,17.1,0.83,308,4734.0
2018 Chevrolet Camaro ZL1 1LE,TRACK TOYS,105000.0,Autoshow,S1,824.0,RWD,6.9,7.8,5.8,5.2,6.0,4.3,192.1,3.6,8.0,1.25,650,3837.0
2019 Chevrolet Corvette ZR1,TRACK TOYS,255000.0,Accolade,S1,871.0,RWD,7.8,7.7,6.5,7.0,7.9,4.0,214.2,3.0,6.1,1.25,755,3560.0
2020 Chevrolet Corvette Stingray Coupe,MODERN SUPERCARS,65000.0,Autoshow,S1,806.0,RWD,7.2,7.0,6.9,7.6,5.2,4.8,,4.1,,,495,3577.0
1970 Datsun 510,CULT CARS,25000.0,This info will be available soon,D,264.0,RWD,3.7,3.7,2.8,2.3,1.9,5.0,,4.1,,,96,2127.0
2013 Deberti Jeep Wrangler Unlimited,UNLIMITED OFFROAD,200000.0,Mastery Tree,A,749.0,AWD,4.7,4.0,6.3,4.8,4.4,9.3,132.4,3.6,8.5,0.92,707,4650.0
2018 Deberti Chevrolet Silverado 1500 Drift Truck,DRIFT CARS,300000.0,Autoshow,A,798.0,RWD,6.7,4.8,4.9,5.1,5.2,4.0,,4.1,,,"1,005",3500.0
2018 Deberti Ford F-150 Prerunner,UNLIMITED OFFROAD,250000.0,Autoshow,B,691.0,RWD,5.7,3.6,5.4,5.8,4.9,9.9,,4.1,,,800,7000.0
"2019 Deberti Toyota Tacoma TRD ""The Performance Truck""",DRIFT CARS,500000.0,Autoshow,S1,836.0,RWD,6.4,5.6,4.9,5.1,6.9,4.7,,4.1,,,900,3215.0
1982 DeLorean DMC-12,RETRO SPORTS CARS,15000.0,Season Event,D,464.0,RWD,4.3,4.9,2.8,2.3,3.1,6.0,,4.1,,,130,2844.0
1968 Dodge Dart Hemi Super Stock,CLASSIC MUSCLE,300000.0,Barn,B,650.0,RWD,4.5,3.6,4.1,4.2,2.9,4.9,,4.1,,,425,3020.0
1969 Dodge Charger Daytona HEMI,CLASSIC MUSCLE,900000.0,Mastery Tree,C,595.0,RWD,5.0,3.8,3.8,3.7,2.8,5.4,,4.1,,,425,3875.0
1969 Dodge Charger R/T,CLASSIC MUSCLE,103000.0,Autoshow,C,548.0,RWD,5.1,3.8,3.6,3.5,2.4,5.1,140.4,6.0,16.0,0.78,425,3671.0
1969 Dodge Charger R/T Forza Edition,TRACK TOYS,70000.0,Other,S1,900.0,RWD,6.6,7.9,7.1,7.3,7.3,3.9,,4.1,,,725,3395.0
1970 Dodge Challenger R/T,CLASSIC MUSCLE,210000.0,Autoshow,C,551.0,RWD,5.5,3.8,3.4,3.3,2.5,5.0,149.7,6.3,12.3,0.79,425,3800.0
1999 Dodge Viper GTS ACR,RETRO MUSCLE,75000.0,Barn,A,717.0,RWD,6.9,5.5,5.2,4.1,4.0,4.5,,4.1,,,460,3450.0
2008 Dodge Viper SRT10 ACR,TRACK TOYS,90000.0,Autoshow,S1,844.0,RWD,7.2,7.9,5.6,4.7,7.5,4.8,196.5,3.4,8.0,1.21,600,3408.0
2013 Dodge SRT Viper GTS,MODERN MUSCLE,95000.0,Autoshow,S1,813.0,RWD,7.6,6.1,5.5,4.6,5.8,4.7,,4.1,,,640,3296.0
2015 Dodge Challenger SRT Hellcat,MODERN MUSCLE,75000.0,Autoshow,A,755.0,RWD,7.7,5.4,4.5,4.6,4.9,4.2,,4.1,,,707,4438.0
2015 Dodge Charger SRT Hellcat,MODERN MUSCLE,80000.0,Autoshow,A,762.0,RWD,7.8,5.3,4.7,4.9,5.0,4.7,,4.1,,,707,4575.0
2016 Dodge Viper ACR,TRACK TOYS,150000.0,Autoshow,S1,873.0,RWD,6.7,8.6,6.2,5.3,9.4,4.4,,4.1,,,645,3368.0
2018 Dodge Challenger SRT Demon,MODERN MUSCLE,150000.0,Autoshow,A,786.0,RWD,7.8,5.5,4.8,5.0,5.3,4.6,207.6,2.3,6.0,0.99,840,4248.0
2018 Dodge Durango SRT,SPORTS UTILITY HEROES,70000.0,Autoshow,B,666.0,AWD,6.3,3.8,5.8,5.6,3.7,6.7,,4.1,,,475,5510.0
2013 Donkervoort D8 GTO,TRACK TOYS,250000.0,Season Event,S1,814.0,RWD,6.2,6.1,5.7,6.1,5.7,3.8,,4.1,,,375,1532.0
2018 Exomotive Exocet Off-Road,UNLIMITED BUGGIES,50000.0,Autoshow,B,682.0,RWD,4.5,4.8,5.3,5.7,5.2,8.6,,4.1,,,252,1571.0
2018 Exomotive Exocet Off-Road Forza Edition,RALLY MONSTERS,500000.0,Wheelspin,A,800.0,AWD,4.5,5.6,9.4,10.0,7.3,7.6,126.8,4.0,9.5,1.22,300,1499.0
1957 Ferrari 250 California,RARE CLASSICS,18500000.0,Autoshow,C,564.0,RWD,5.4,4.0,3.4,2.3,2.8,5.7,149.2,6.5,14.7,0.8,262,2315.0
1957 Ferrari 250 Testa Rossa,CLASSIC RACERS,16400000.0,Autoshow,B,691.0,RWD,6.3,4.4,4.5,4.2,2.9,4.5,,4.1,,,300,2028.0
1962 Ferrari 250 GTO,CLASSIC RACERS,50000000.0,Barn,B,612.0,RWD,6.4,3.9,3.5,2.5,2.8,5.2,,4.1,,,300,2299.0
1967 Ferrari #24 Ferrari Spa 330 P4,CLASSIC RACERS,9000000.0,Wheelspin,A,780.0,RWD,7.2,5.1,6.3,5.9,4.2,4.4,,4.1,,,450,2271.0
1968 Ferrari 365 GTB/4,RARE CLASSICS,600000.0,Autoshow,B,637.0,RWD,7.0,4.4,4.4,3.1,3.0,5.4,189.5,5.9,12.0,0.81,405,3600.0
1969 Ferrari Dino 246 GT,RARE CLASSICS,425000.0,Wheelspin,C,535.0,RWD,5.2,4.9,3.2,2.0,2.8,5.4,144.5,7.9,21.5,0.83,195,2380.0
1984 Ferrari 288 GTO,RETRO SUPERCARS,3500000.0,Autoshow,A,750.0,RWD,7.4,5.6,5.6,3.1,4.2,4.7,202.9,5.0,11.0,1.08,395,2822.0
1987 Ferrari F40,RETRO SUPERCARS,1200000.0,Autoshow,A,784.0,RWD,7.3,6.5,6.3,2.6,5.3,5.0,,4.1,,,478,2980.0
1989 Ferrari F40 Competizionne,EXTREME TRACK TOYS,2000000.0,Barn,S2,947.0,RWD,8.3,10.0,6.6,1.7,8.5,4.4,,4.1,,,691,2315.0
1994 Ferrari F355 Berlinetta,RETRO SUPERCARS,190000.0,Autoshow,A,717.0,RWD,6.8,6.1,4.5,3.6,4.3,4.9,,4.1,,,375,3196.0
1995 Ferrari F50,RETRO SUPERCARS,2000000.0,Autoshow,A,789.0,RWD,7.3,6.5,5.7,5.0,5.6,4.8,,4.1,,,513,2976.0
1996 Ferrari F50 GT,EXTREME TRACK TOYS,2000000.0,Autoshow,S2,976.0,RWD,8.1,10.0,7.0,7.1,10.0,4.1,,4.1,,,750,2002.0
2002 Ferrari 575M Maranello,RETRO SUPERCARS,250000.0,Season Event,A,747.0,RWD,7.5,5.6,5.6,5.7,4.4,4.9,205.3,4.2,9.6,1.05,508,3814.0
2002 Ferrari Enzo Ferrari,RETRO SUPERCARS,2800000.0,Autoshow,S1,857.0,RWD,8.1,7.5,6.4,6.9,8.3,4.7,,4.1,,,650,3263.0
2003 Ferrari 360 Challenge Stradale,RETRO SUPERCARS,200000.0,Wheelspin,A,773.0,RWD,7.0,6.8,6.1,5.6,6.6,4.7,,4.1,,,409,2844.0
2005 Ferrari FXX,EXTREME TRACK TOYS,2500000.0,Autoshow,S2,956.0,RWD,8.4,10.0,8.1,8.9,10.0,4.4,231.4,2.8,5.3,1.71,789,2731.0
2007 Ferrari 430 Scuderia,MODERN SUPERCARS,300000.0,Wheelspin,S1,810.0,RWD,7.6,6.9,6.2,6.4,6.9,4.3,,4.1,,,503,3150.0
2009 Ferrari 458 Italia,MODERN SUPERCARS,225000.0,Autoshow,S1,823.0,RWD,7.9,7.2,6.3,6.8,6.9,4.1,219.9,3.0,6.5,1.02,562,3274.0
2010 Ferrari 599 GTO,SUPER GT,350000.0,Season Event,S1,828.0,RWD,7.9,7.4,6.0,6.3,7.2,4.5,217.4,3.4,7.2,1.04,661,3538.0
2012 Ferrari 599XX Evolution,EXTREME TRACK TOYS,2600000.0,Autoshow,S2,952.0,RWD,8.0,9.8,7.3,7.9,10.0,3.8,,4.1,,,740,3038.0
2013 Ferrari 458 Speciale,TRACK TOYS,340000.0,Wheelspin,S1,865.0,RWD,7.7,8.0,6.9,7.5,7.9,3.7,,4.1,,,597,3075.0
2013 Ferrari LaFerrari,HYPERCARS,1500000.0,Car Collection,S2,934.0,RWD,9.4,9.0,7.2,7.9,9.6,4.4,,4.1,,,963,3263.0
2014 Ferrari FXX K,EXTREME TRACK TOYS,2700000.0,Autoshow,S2,979.0,RWD,8.1,10.0,8.1,9.0,10.0,3.6,,4.1,,,"1,036",2831.0
2015 Ferrari 488 GTB,MODERN SUPERCARS,290000.0,Autoshow,S1,863.0,RWD,8.2,7.9,6.8,6.5,7.8,4.4,,4.1,,,660,3252.0
